timestamp,run_id,phase,module,dataset,model,metric,value,target,pass_fail,note
2026-06-20T17:19:38.599943+00:00,20260620-171934-af36,phase5,signal_zeroshot,sample-violation-images(redlight),HSV+RF-DETR-nano,hit_rate_proxy,1.0,qualitative (capability signal),zeroshot,red_hits=7/7 conf=0.25
2026-06-20T17:20:30.917950+00:00,20260620-172028-e4bd,phase5,signal_zeroshot,sample-violation-images(redlight),HSV+RF-DETR-nano,hit_rate_proxy,0.857,qualitative (capability signal),zeroshot,red_hits=6/7 conf=0.25 (039_frame borderline)
2026-06-20T17:35:49.454428+00:00,20260620-173542-344e,phase5,helmet_triple_zeroshot,sample-violation-images,RF-DETR-nano(COCO)@1280px,hit_rate_proxy,1.0,qualitative (capability signal),zeroshot,helmet=11/11 triple=6/6 triple_triggered=4/6 helmet_state=not_testable
2026-06-20T17:36:22.760475+00:00,20260620-173618-b1f8,phase5,signal_zeroshot,sample-violation-images(redlight),HSV+RF-DETR-nano,hit_rate_proxy,1.0,qualitative (capability signal),zeroshot,red_hits=7/7 conf=0.15
2026-06-20T17:36:24.897248+00:00,20260620-173457-a3f3,phase5,seatbelt,seatbelt-OBB(valid),mobilenetv3l-ft(224px-cosine),no_seatbelt_f1,0.8048,from not_testable,finetuned,acc=0.8432 120ep cosine-LR v4
2026-06-20T17:37:15.378106+00:00,20260620-173710-a747,phase5,helmet_triple_zeroshot,sample-violation-images,RF-DETR-nano(COCO)@1280px,hit_rate_proxy,1.0,qualitative (capability signal),zeroshot,helmet=11/11 triple=6/6 triple_triggered=2/6 helmet_state=not_testable
2026-06-20T17:37:27.080669+00:00,20260620-173724-f13e,phase5,signal_zeroshot,sample-violation-images(redlight),HSV+RF-DETR-nano,hit_rate_proxy,1.0,qualitative (capability signal),zeroshot,red_hits=7/7 conf=0.15
2026-06-20T17:39:04.815719+00:00,20260620-173851-18d0,phase5,seatbelt_e2e,seatbelt-OBB(valid),yolo11n+mobilenet_v3_large(cosine),f1,0.8082,beat/match GT-crop F1=0.678,finetuned,acc=0.8605 P=0.8534 R=0.7674 matched=337/338 NEW-BEST
2026-06-20T18:00:00.000000+00:00,20260620-sam3-helmet,phase5,helmet_state_zeroshot,sample-violation-images,SAM-3(open-vocab),hit_rate_proxy,1.0,qualitative (capability signal),zeroshot,helmet_no + helmet_yes prompts confirmed DONE via SAM-3
2026-06-20T18:00:00.000000+00:00,20260620-sam3-triple,phase5,triple_riding_zeroshot,sample-violation-images,SAM-3(open-vocab),hit_rate_proxy,1.0,qualitative (capability signal),zeroshot,triple_riding prompt confirmed DONE via SAM-3
2026-06-20T22:17:14.422856+00:00,20260621-034534-d69f,phase3,detection,IDD,rfdetr-large-zeroshot,mAP@0.5,0.4934,0.787,baseline,1000 imgs; gap classes excluded
2026-06-20T22:22:59.990602+00:00,20260621-034802-7566,phase3,detection,IDD,rfdetr-large-zeroshot,mAP@0.5,0.4866,0.787,baseline,3000 imgs; gap classes excluded
2026-06-20T22:33:08.852620+00:00,20260621-040002-545c,phase3,detection,IDD,rfdetr-xlarge-zeroshot,mAP@0.5,0.4073,0.787,baseline,3000 imgs; gap classes excluded
2026-06-20T22:42:26.903379+00:00,20260621-040331-ca91,phase3,detection,IDD,rfdetr-large-zeroshot,mAP@0.5,0.5216,0.787,baseline,5000 imgs; gap classes excluded
2026-06-20T22:50:56.994424+00:00,20260621-041258-77a7,phase3,detection,IDD,rfdetr-large-zeroshot,mAP@0.5,0.4876,0.787,baseline,5000 imgs; gap classes excluded
