epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,213.955,0.63917,0.32551,0.96553,0.99982,0.99704,0.995,0.84411,0.62314,0.28041,0.95774,0.0009605,0.0009605,0.0009605
44,218.748,0.64772,0.32295,0.96634,0.99982,0.99704,0.995,0.83663,0.65139,0.27336,0.97723,0.00093575,0.00093575,0.00093575
45,223.635,0.62104,0.32159,0.95651,0.99976,0.99704,0.995,0.84387,0.60293,0.2792,0.94882,0.000911,0.000911,0.000911
46,228.468,0.64254,0.31861,0.96712,0.99977,0.99704,0.995,0.8478,0.60364,0.27177,0.95818,0.00088625,0.00088625,0.00088625
47,233.238,0.64349,0.31861,0.95708,0.9997,0.99704,0.995,0.84466,0.59823,0.26257,0.94525,0.0008615,0.0008615,0.0008615
48,238.081,0.64182,0.32186,0.96338,0.99981,0.99704,0.995,0.84123,0.63274,0.29016,0.96306,0.00083675,0.00083675,0.00083675
49,243.007,0.63543,0.32198,0.96355,0.99963,0.99704,0.995,0.85021,0.60033,0.26919,0.95101,0.000812,0.000812,0.000812
50,248.098,0.6268,0.31302,0.96182,0.99963,0.99704,0.995,0.84625,0.61012,0.26227,0.95303,0.00078725,0.00078725,0.00078725
51,254.241,0.63504,0.31568,0.95916,0.99982,0.99704,0.995,0.84918,0.59542,0.25724,0.9503,0.0007625,0.0007625,0.0007625
52,259.224,0.6298,0.30659,0.96404,0.99982,0.99704,0.995,0.85403,0.59591,0.26109,0.95087,0.00073775,0.00073775,0.00073775
53,263.926,0.64072,0.31257,0.96153,0.99981,0.99704,0.995,0.8524,0.61193,0.25908,0.95439,0.000713,0.000713,0.000713
54,268.85,0.62793,0.3153,0.96861,0.99965,0.99704,0.995,0.8535,0.59925,0.25815,0.94495,0.00068825,0.00068825,0.00068825
55,273.665,0.61376,0.30213,0.94763,0.99981,0.99704,0.995,0.84926,0.60847,0.25576,0.9487,0.0006635,0.0006635,0.0006635
56,278.495,0.62808,0.30431,0.95198,0.99755,0.99704,0.995,0.85276,0.60493,0.25973,0.94861,0.00063875,0.00063875,0.00063875
57,283.489,0.61333,0.30265,0.95424,0.99982,0.99704,0.995,0.8528,0.58998,0.24613,0.94387,0.000614,0.000614,0.000614
58,289.161,0.61751,0.29944,0.95252,0.99982,0.99704,0.995,0.85484,0.59739,0.25023,0.94948,0.00058925,0.00058925,0.00058925
59,294.096,0.60646,0.29976,0.95523,0.99971,0.99704,0.995,0.85373,0.58838,0.25377,0.95134,0.0005645,0.0005645,0.0005645
60,299.066,0.60206,0.29927,0.96131,0.99644,0.99704,0.99482,0.84821,0.59177,0.25416,0.95201,0.00053975,0.00053975,0.00053975
61,303.957,0.59834,0.29829,0.9537,0.99979,0.99704,0.995,0.85734,0.58797,0.26038,0.94473,0.000515,0.000515,0.000515
62,308.886,0.59863,0.29704,0.9391,0.99982,0.99704,0.995,0.8578,0.58895,0.25552,0.94622,0.00049025,0.00049025,0.00049025
63,313.757,0.61723,0.30141,0.95299,0.99982,0.99704,0.995,0.85481,0.59344,0.25473,0.946,0.0004655,0.0004655,0.0004655
64,318.538,0.59616,0.2939,0.94791,0.99981,0.99704,0.995,0.85548,0.59064,0.24725,0.94035,0.00044075,0.00044075,0.00044075
65,323.383,0.58359,0.27523,0.93953,0.9998,0.99704,0.995,0.85187,0.59038,0.24652,0.95209,0.000416,0.000416,0.000416
66,328.137,0.58842,0.28983,0.95057,0.99982,0.99704,0.995,0.85252,0.58352,0.24602,0.94458,0.00039125,0.00039125,0.00039125
67,333.006,0.58634,0.27722,0.94048,0.99983,0.99704,0.995,0.85253,0.59454,0.24009,0.94407,0.0003665,0.0003665,0.0003665
68,337.753,0.6056,0.29068,0.95784,0.99982,0.99704,0.995,0.85772,0.59039,0.24046,0.94678,0.00034175,0.00034175,0.00034175
69,342.542,0.59456,0.2828,0.95036,0.99983,0.99704,0.995,0.85325,0.58628,0.23365,0.94293,0.000317,0.000317,0.000317
70,347.724,0.58243,0.27887,0.94225,0.99983,0.99704,0.995,0.85392,0.58828,0.2374,0.94589,0.00029225,0.00029225,0.00029225
71,352.916,0.5416,0.24216,0.94506,0.99894,0.99704,0.995,0.85199,0.59261,0.25033,0.94922,0.0002675,0.0002675,0.0002675
72,357.241,0.54761,0.23848,0.94956,0.99675,0.99704,0.99479,0.85143,0.594,0.24244,0.94604,0.00024275,0.00024275,0.00024275
73,361.753,0.53011,0.23362,0.94312,0.99922,0.99704,0.995,0.85637,0.58118,0.23667,0.94184,0.000218,0.000218,0.000218
74,366.49,0.52704,0.22849,0.94083,0.99976,0.99704,0.995,0.85228,0.60006,0.24733,0.95054,0.00019325,0.00019325,0.00019325
75,370.851,0.52642,0.22962,0.94348,0.99853,0.99704,0.995,0.85138,0.59419,0.24071,0.94728,0.0001685,0.0001685,0.0001685
76,375.407,0.52091,0.2267,0.93901,0.9994,0.99704,0.995,0.85306,0.59352,0.23501,0.94262,0.00014375,0.00014375,0.00014375
77,380.292,0.52788,0.22481,0.93845,0.9998,0.99704,0.995,0.8547,0.58395,0.23241,0.94056,0.000119,0.000119,0.000119
78,386.36,0.52349,0.2257,0.92339,0.99982,0.99704,0.995,0.85823,0.58239,0.23237,0.94121,9.425e-05,9.425e-05,9.425e-05
79,391.138,0.51336,0.21906,0.92854,0.99981,0.99704,0.995,0.85504,0.58015,0.22934,0.94268,6.95e-05,6.95e-05,6.95e-05
80,395.869,0.50831,0.21683,0.92736,0.99981,0.99704,0.995,0.85328,0.58825,0.22984,0.94488,4.475e-05,4.475e-05,4.475e-05
